expression,meaning,example,domain,base_word,intensity_level,intensity_value,semantic_group
hot^0.1,barely warm,hot^0.1 = barely warm,Physical Intensity,hot,minimal,0.1,temperature increase
hot^0.2,slightly warm,hot^0.2 = slightly warm,Physical Intensity,hot,slight,0.2,temperature increase
hot^0.3,moderately warm,hot^0.3 = moderately warm,Physical Intensity,hot,subtle,0.3,temperature increase
hot^0.5,hot,hot^0.5 = hot,Physical Intensity,hot,moderate,0.5,temperature increase
hot^0.7,scorching,hot^0.7 = scorching,Physical Intensity,hot,strong,0.7,temperature increase
hot^0.8,searing,hot^0.8 = searing,Physical Intensity,hot,intense,0.8,temperature increase
hot^0.9,searing,hot^0.9 = searing,Physical Intensity,hot,extreme,0.9,temperature increase
hot^1.0,searing,hot^1.0 = searing,Physical Intensity,hot,maximum,1.0,temperature increase
col^0.1,barely cold,col^0.1 = barely cold,Physical Intensity,col,minimal,0.1,temperature decrease
col^0.2,slightly cool,col^0.2 = slightly cool,Physical Intensity,col,slight,0.2,temperature decrease
col^0.3,moderately cool,col^0.3 = moderately cool,Physical Intensity,col,subtle,0.3,temperature decrease
col^0.5,cold,col^0.5 = cold,Physical Intensity,col,moderate,0.5,temperature decrease
col^0.7,freezing,col^0.7 = freezing,Physical Intensity,col,strong,0.7,temperature decrease
col^0.8,absolute zero,col^0.8 = absolute zero,Physical Intensity,col,intense,0.8,temperature decrease
col^0.9,absolute zero,col^0.9 = absolute zero,Physical Intensity,col,extreme,0.9,temperature decrease
col^1.0,absolute zero,col^1.0 = absolute zero,Physical Intensity,col,maximum,1.0,temperature decrease
lit^0.1,heavy-ish,lit^0.1 = heavy-ish,Physical Intensity,lit,minimal,0.1,weight lightness
lit^0.2,fairly light,lit^0.2 = fairly light,Physical Intensity,lit,slight,0.2,weight lightness
lit^0.3,light,lit^0.3 = light,Physical Intensity,lit,subtle,0.3,weight lightness
lit^0.5,very light,lit^0.5 = very light,Physical Intensity,lit,moderate,0.5,weight lightness
lit^0.7,ultra-light,lit^0.7 = ultra-light,Physical Intensity,lit,strong,0.7,weight lightness
lit^0.8,weightless,lit^0.8 = weightless,Physical Intensity,lit,intense,0.8,weight lightness
lit^0.9,weightless,lit^0.9 = weightless,Physical Intensity,lit,extreme,0.9,weight lightness
lit^1.0,weightless,lit^1.0 = weightless,Physical Intensity,lit,maximum,1.0,weight lightness
