expression,meaning,example,domain
abd@nov,"novel, new of abduct, infer best explanation",abd@nov,cognitive
abo@dia,"diameter, across relative to above",abo@dia,spatial
abo@dif,different of above,abo@dif,spatial
abo@dow,downward relative to above,abo@dow,spatial
abo@eas,"east, sunrise-direction relative to above",abo@eas,spatial
abo@edg,edge relative to above,abo@edg,spatial
abo@far,far relative to above,abo@far,spatial
abo@fli,"flip, turn over relative to above",abo@fli,spatial
abo@for,forward relative to above,abo@for,spatial
abo@fro,in front relative to above,abo@fro,spatial
abo@gap,"gap, space between relative to above",abo@gap,spatial
abo@hei,"height, tall relative to above",abo@hei,spatial
abo@her,here relative to above,abo@her,spatial
abo@hex,"hexagon, six relative to above",abo@hex,spatial
abo@hig,"high, elevated relative to above",abo@hig,spatial
abo@ins,inside relative to above,abo@ins,spatial
abo@lef,left relative to above,abo@lef,spatial
abo@len,"length, long relative to above",abo@len,spatial
abo@lin,line relative to above,abo@lin,spatial
abo@low,"low, ground relative to above",abo@low,spatial
abo@nea,near relative to above,abo@nea,spatial
abo@nor,"north, up-direction relative to above",abo@nor,spatial
abs@fth,"faith, trust, belief of abstract, conceptual",abs@fth,cognitive
acc@bir,"birth through accelerate, speed up",acc@bir,temporal
acc@cha,"change through accelerate, speed up",acc@cha,temporal
acc@dea,"death through accelerate, speed up",acc@dea,temporal
acc@dec,"decay through accelerate, speed up",acc@dec,temporal
acc@era,"era, age through accelerate, speed up",acc@era,temporal
acc@grd,"gradual, slow change through accelerate, speed up",acc@grd,temporal
ack@ref,"reference, point to of acknowledge, confirm receipt",ack@ref,abstract
acr@dia,"diameter, across relative to across, from one side to other",acr@dia,spatial
acr@dow,"downward relative to across, from one side to other",acr@dow,spatial
acr@eas,"east, sunrise-direction relative to across, from one side to other",acr@eas,spatial
acr@edg,"edge relative to across, from one side to other",acr@edg,spatial
acr@far,"far relative to across, from one side to other",acr@far,spatial
acr@fli,"flip, turn over relative to across, from one side to other",acr@fli,spatial
acr@for,"forward relative to across, from one side to other",acr@for,spatial
acr@fro,"in front relative to across, from one side to other",acr@fro,spatial
acr@gap,"gap, space between relative to across, from one side to other",acr@gap,spatial
acr@hei,"height, tall relative to across, from one side to other",acr@hei,spatial
acr@her,"here relative to across, from one side to other",acr@her,spatial
acr@hex,"hexagon, six relative to across, from one side to other",acr@hex,spatial
acr@hig,"high, elevated relative to across, from one side to other",acr@hig,spatial
acr@hyd,"hydrogen, H of across, from one side to other",acr@hyd,spatial
acr@ins,"inside relative to across, from one side to other",acr@ins,spatial
acr@lef,"left relative to across, from one side to other",acr@lef,spatial
acr@len,"length, long relative to across, from one side to other",acr@len,spatial
acr@lin,"line relative to across, from one side to other",acr@lin,spatial
acr@low,"low, ground relative to across, from one side to other",acr@low,spatial
acr@nea,"near relative to across, from one side to other",acr@nea,spatial
acr@nor,"north, up-direction relative to across, from one side to other",acr@nor,spatial
ada@out,"outside of adapt, adjust",ada@out,abstract
adj@tal,"talk, converse of adjacent, immediate neighbors ",adj@tal,abstract
aer@aqu,water-related aspect of air-related,aer@aqu,physical
aer@ari,"desert, arid aspect of air-related",aer@ari,physical
aer@ash,"ash, burnt residue aspect of air-related",aer@ash,physical
aer@ato,"atom, particle aspect of air-related",aer@ato,physical
aer@big,"large, big aspect of air-related",aer@big,physical
aer@blf,"cliff, precipice aspect of air-related",aer@blf,physical
aer@bol,"boil, bubble aspect of air-related",aer@bol,physical
aer@bur,burning aspect of air-related,aer@bur,physical
aer@cav,"cave, cavern aspect of air-related",aer@cav,physical
aer@che,"chemical, reaction aspect of air-related",aer@che,physical
aer@clo,"cloud, vapor aspect of air-related",aer@clo,physical
aer@con,contraction aspect of air-related,aer@con,physical
aer@cry,"crystal, lattice aspect of air-related",aer@cry,physical
aer@dam,blocking aspect of air-related,aer@dam,physical
aer@den,"dense, compact aspect of air-related",aer@den,physical
aer@dim,"dim, faint aspect of air-related",aer@dim,physical
